Big Band,Artist,"Orquesta Aragn",07a2cd7d-883b-45b5-bf96-7215b997446a,be725fe7-b2e7-4c66-ad1d-6612055684ab,""
Latin,Artist,"Orquesta Aragn",07a2cd7d-883b-45b5-bf96-7215b997446a,be725fe7-b2e7-4c66-ad1d-6612055684ab,""
Rock,Artist,"Orquesta Aragn",07a2cd7d-883b-45b5-bf96-7215b997446a,be725fe7-b2e7-4c66-ad1d-6612055684ab,""
Soul,Artist,"Orquesta Aragn",07a2cd7d-883b-45b5-bf96-7215b997446a,be725fe7-b2e7-4c66-ad1d-6612055684ab,""
1 & UP,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Country,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Jazz,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Soul,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Blues,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Rock,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Folk,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Gospel,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
Funk,Artist,"Lightnin\' Hopkins",07badce1-bb0f-415c-b7a7-64196146b5d0,d5c55b61-78b8-40c9-be1b-de7517c3aebb,""
3 & UP,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
2 & UP,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
1 & UP,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
Rock,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
Heavy Metal,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
Folk,Artist,"Black Messiah",07c81476-4a93-456b-955d-e557406a80b1,97cc1631-8822-464d-88eb-a6d97c23e678,""
4 & UP,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
3 & UP,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
2 & UP,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
1 & UP,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
Jazz,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
Latin,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
Blues,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
Pop,Artist,"Guitar Slim",07c8aa48-680f-400c-9ac7-b03dc6255525,017151db-3920-4b4d-ab17-c8c5b6616648,""
3 & UP,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
2 & UP,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
1 & UP,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
Jazz,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
Folk,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
Blues,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
Pop,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
Rock,Artist,"Patricia Kaas",07d12bc5-77ad-4393-8a09-103cc1fdefd3,217794c8-c7e8-4e9b-b5d0-6aeac98e0e08,""
